first,second,condition,root,prefixes,suffixes,word,type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error
disingirtionary,disingirtionary,pprss,girt,dis_in,ion_ary,disingirtionary,target,r,,2,r,m,disingimtionary,0
edcolg,edcolg,pr,colg,ed,,edcolg,control,r,,0,c,h,edholg,0
sidnicolgoniyar,sidnicolgoniyar,pprss,colg,sid_ni,oni_yar,sidnicolgoniyar,control,r,,2,l,r,sidnicorgoniyar,0
tonpro,fonpro,rs,tonp,,ro,tonpro,control,r,,0,t,f,fonpro,1
teakmentalism,teakmentalism,rsss,teak,,ment_al_ism,teakmentalism,target,s,0.0,0,m,r,teakrentalism,0
disinfomiously,disinfimiously,pprss,fom,dis_in,ious_ly,disinfomiously,target,r,,1,o,i,disinfimiously,1
ketalistic,ketawistic,rsss,ket,,al_ist_ic,ketalistic,target,s,0.0,1,l,w,ketawistic,1
reinlonable,reinlonable,pprs,lon,re_in,able,reinlonable,target,p,0.0,1,e,i,riinlonable,0
renegively,renehively,prss,neg,re,ive_ly,renegively,target,r,,2,g,h,renehively,1
sidtecre,sidtecre,prs,tec,sid,re,sidtecre,control,s,0.0,1,e,i,sidtecri,0
disclatfulness,disclatfulness,prss,clat,dis,ful_ness,disclatfulness,target,p,0.0,0,d,b,bisclatfulness,0
sidkeatluf,sidkeatluf,prs,keat,sid,luf,sidkeatluf,control,s,0.0,2,f,p,sidkeatlup,0
ertrigeviyl,ertrigeviyl,prss,trig,er,evi_yl,ertrigeviyl,control,p,0.0,0,e,o,ortrigeviyl,0
prepontically,prepontically,prsss,pont,pre,ic_al_ly,prepontically,target,r,,2,n,r,preportically,0
overdarfive,overdarfive,prs,darf,over,ive,overdarfive,target,p,0.0,1,v,h,oherdarfive,0
colgro,colgro,rs,colg,,ro,colgro,control,s,0.0,0,r,w,colgwo,0
redruniveness,redraniveness,prss,drun,re,ive_ness,redruniveness,target,r,,2,u,a,redraniveness,1
disinteakionary,disintiakionary,pprss,teak,dis_in,ion_ary,disinteakionary,target,r,,1,e,i,disintiakionary,1
ramalist,ramalist,rss,ram,,al_ist,ramalist,target,r,,2,m,r,raralist,0
edmearlazitanoi,odmearlazitanoi,prssss,mear,ed,la_zi_ta_noi,edmearlazitanoi,control,p,0.0,0,e,o,odmearlazitanoi,1
imtaunly,irtaunly,prs,taun,im,ly,imtaunly,target,p,0.0,1,m,r,irtaunly,1
fomalism,famalism,rss,fom,,al_ism,fomalism,target,r,,1,o,a,famalism,1
midobcilayl,mihobcilayl,prsss,dob,mi,ci_la_yl,midobcilayl,control,r,,0,d,h,mihobcilayl,1
inmeerivation,inmeerivataon,prsss,meer,in,iv_at_ion,inmeerivation,target,s,2.0,0,i,a,inmeerivataon,1
nusimselbelba,nusimselbelba,pprs,selb,nu_sim,elba,nusimselbelba,control,r,,0,s,h,nusimhelbelba,0
negious,negious,rs,neg,,ious,negious,target,r,,1,e,a,nagious,0
erniwerkacne,erniwerkacne,pprs,werk,er_ni,acne,erniwerkacne,control,r,,0,w,n,erninerkacne,0
engeed,engeed,pr,geed,en,,engeed,target,r,,1,e,i,engied,0
unmissoomable,unmishoomable,pprs,soom,un_mis,able,unmissoomable,target,r,,0,s,h,unmishoomable,1
nisidmoostiy,nisidmoosdiy,pprs,moos,ni_sid,tiy,nisidmoostiy,control,s,0.0,0,t,d,nisidmoosdiy,1
martainolasim,martainolasim,rssss,mar,,ta_ino_la_sim,martainolasim,control,r,,0,m,r,rartainolasim,0
pregirtically,pregirtically,prsss,girt,pre,ic_al_ly,pregirtically,target,r,,3,t,d,pregirdically,0
abpontally,obpontally,prss,pont,ab,al_ly,abpontally,target,p,0.0,0,a,o,obpontally,1
eredrom,eredrom,ppr,rom,er_ed,,eredrom,control,p,0.0,0,e,u,uredrom,0
lienion,lienion,rs,lien,,ion,lienion,target,r,,0,l,m,mienion,0
siwtainolayl,siwtainolayl,rssss,siw,,ta_ino_la_yl,siwtainolayl,control,r,,0,s,g,giwtainolayl,0
