first,second,condition,prefix_template,suffix_template,root,prefixes,suffixes,word,type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error
remiscarpally,remiscarpally,pprss,pp,ss,carp,re_mis,al_ly,remiscarpally,target,s,0.0,0,a,e,remiscarpelly,0
sleblufyl,sleblufyl,rss,,ss,sleb,,luf_yl,sleblufyl,control,r,,3,b,h,slehlufyl,0
werkcilayl,werkhilayl,rsss,,sss,werk,,ci_la_yl,werkcilayl,control,s,0.0,0,c,h,werkhilayl,1
ernaetcila,ernaetcila,prss,p,ss,naet,er,ci_la,ernaetcila,control,s,0.0,0,c,s,ernaetsila,0
ramally,ramalmy,rss,,ss,ram,,al_ly,ramally,target,s,1.0,0,l,m,ramalmy,1
heedlyness,heedlynesc,rss,,ss,heed,,ly_ness,heedlyness,target,s,1.0,3,s,c,heedlynesc,1
ketational,ketational,rss,,ss,ket,,ation_al,ketational,target,r,,0,k,s,setational,0
reinrien,reinrien,ppr,pp,,rien,re_in,,reinrien,target,p,0.0,1,e,a,rainrien,0
erniluorlayl,erniruorlayl,pprss,pp,ss,luor,er_ni,la_yl,erniluorlayl,control,r,,0,l,r,erniruorlayl,1
niluorcilayl,niluorcilayl,prsss,p,sss,luor,ni,ci_la_yl,niluorcilayl,control,p,0.0,0,n,m,miluorcilayl,0
ernisiwci,ernisiwci,pprs,pp,s,siw,er_ni,ci,ernisiwci,control,s,0.0,0,c,g,ernisiwgi,0
gloc,glic,r,,,gloc,,,gloc,target,r,,2,o,i,glic,1
nitalcylssen,mitalcylssen,prss,p,ss,talc,ni,yl_ssen,nitalcylssen,control,p,0.0,0,n,m,mitalcylssen,1
ernilaektsiciyl,ernilaektsiciyl,pprsss,pp,sss,laek,er_ni,tsi_ci_yl,ernilaektsiciyl,control,p,0.0,1,r,m,emnilaektsiciyl,0
dobnoitala,dobnoitala,rss,,ss,dob,,noita_la,dobnoitala,control,s,0.0,2,i,a,dobnoatala,0
